"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"3570",77126,"2",70,"3","1","1",2,"1","6"
"3571",77127,"2",41,"4","1","1",7,"1","1"
"3572",77128,"1",19,"3","1","1",4,"1","14"
"3573",77129,"2",10,"4","1","1",5,"6","2"
"3574",77130,"1",16,"2","1","1",5,"1","15"
"3575",77131,"2",42,"3","1","1",3,"3","15"
"3576",77132,"1",25,"6","1","1",7,"4","15"
"3577",77133,"2",2,"4","1","1",5,"5","6"
"3578",77134,"1",7,"4","1","1",6,"5","4"
"3579",77135,"1",10,"3","1","1",6,"4","4"
"3580",77136,"2",22,"3","1","1",1,"6","3"
"3581",77137,"2",5,"7","1","1",5,"3","4"
"3582",77138,"2",15,"4","1","1",4,"1","8"
"3583",77139,"2",71,"2","2","1",1,"2","3"
"3584",77140,"1",58,"1","1","1",1,"3","7"
"3585",77141,"2",42,"1","2","2",5,"5","6"
"3586",77142,"1",68,"4","1","1",1,"3","13"
"3587",77143,"2",2,"4","1","1",5,"4","8"
"3588",77144,"2",27,"3","1","1",3,"5","3"
"3589",77145,"1",43,"1","1","1",4,"1","12"
"3590",77146,"1",2,"3","1","1",2,"3","4"
"3591",77147,"1",45,"6","2","1",4,"1","9"
"3592",77148,"1",4,"2","1","1",6,"6","4"
"3593",77149,"1",11,"4","1","1",6,"1","5"
"3594",77150,"1",31,"3","1","1",6,"1","15"
"3595",77151,"1",34,"3","1","1",2,"1","4"
"3596",77152,"1",10,"4","1","1",5,"5","6"
"3597",77153,"2",29,"3","1","1",7,"1","7"
"3598",77154,"2",58,"4","1","1",4,"2","7"
"3599",77155,"1",22,"4","1","1",7,"5","3"
"3600",77156,"1",30,"3","1","1",6,"1","8"
"3601",77157,"2",47,"3","1","1",3,"1","15"
"3602",77158,"1",20,"3","1","1",7,"1","5"
"3603",77159,"2",38,"7","2","2",3,"1","8"
"3604",77160,"1",52,"3","1","1",4,"1","7"
"3605",77161,"2",28,"2","1","1",2,"1","14"
"3606",77162,"2",72,"3","1","1",1,"4","3"
"3607",77163,"2",66,"1","2","2",6,"4","7"
"3608",77164,"2",56,"6","2","1",7,"1","5"
"3609",77165,"1",10,"2","1","1",4,"1","15"
"3610",77166,"2",2,"3","1","1",4,"1","15"
"3611",77167,"2",40,"4","2","2",2,"1","2"
"3612",77168,"2",80,"3","1","1",1,"2","8"
"3613",77169,"1",10,"4","1","1",5,"5","4"
"3614",77170,"2",58,"2","2","1",4,"1","14"
"3615",77171,"2",69,"2","2","1",3,"2","6"
"3616",77172,"1",42,"6","2","1",4,"1","77"
"3617",77173,"2",16,"6","1","1",7,"1","15"
"3618",77174,"1",22,"2","1","1",3,"1","7"
"3619",77175,"2",4,"2","1","1",3,"1","14"
"3620",77176,"2",41,"1","2","2",7,"1","14"
"3621",77177,"1",48,"3","1","1",2,"1","14"
"3622",77178,"2",80,"3","1","1",2,"1","5"
"3623",77179,"2",67,"1","2","1",7,"1","8"
"3624",77180,"1",9,"3","1","1",5,"1","14"
"3625",77181,"1",4,"3","1","1",4,"1","15"
"3626",77182,"1",9,"4","1","1",6,"1","9"
"3627",77183,"2",5,"1","1","1",6,"6","3"
"3628",77184,"2",2,"1","1","1",5,"2","14"
"3629",77185,"2",51,"3","1","1",3,"5","15"
"3630",77186,"1",7,"3","1","1",4,"1","15"
"3631",77187,"2",80,"3","1","1",1,"5","7"
"3632",77188,"1",8,"3","1","1",5,"6","9"
