"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"2461",76017,"Male",2,"Asian","US","US",4,"Married","$100000 and Over"
"2462",76018,"Male",31,"White","US","US",1,"partner","$15000 - $19999"
"2463",76019,"Male",29,"Other_Hispanic","US","US",6,"Married","$0 - $4999"
"2464",76020,"Male",32,"White","US","US",1,"Never_married","$10000 - $14999"
"2465",76021,"Female",0,"Mexican_American","US","US",7,"Married","$25000 - $34999"
"2466",76022,"Male",3,"White","US","US",5,"Married","$55000 - $64999"
"2467",76023,"Male",67,"Black","US","US",2,"Married","$100000 and Over"
"2468",76024,"Female",40,"Black","US","US",3,"partner","$100000 and Over"
"2469",76025,"Male",51,"White","US","US",1,"Divorced","$100000 and Over"
"2470",76026,"Female",9,"White","US","US",6,"Married","$75000 - $99999"
"2471",76027,"Female",5,"Asian","US","US",3,"Married","$15000 - $19999"
"2472",76028,"Female",57,"Black","Others","Other",2,"Never_married","$20000 - $24999"
"2473",76029,"Male",3,"Asian","US","US",4,"Married","$65000 - $74999"
"2474",76030,"Male",32,"Black","US","US",4,"Married","$75000 - $99999"
